timestamp,CPU US,CPU SY,CPU ID,MEM USED,MEM BUFF,Stellar CPU%,Stellar MEM%,PGSQL CPU%,PGSQL MEM%
2021-05-17 18:48:15,9.1,0.0,3.3,10402.1,494.2,60.0,0.8,0.0,0.4
2021-05-17 18:48:16,2.6,1.0,0.5,10402.1,494.2,16.8,0.8,9.9,0.4
2021-05-17 18:48:17,2.3,1.5,1.4,10402.1,494.2,13.0,0.8,10.0,0.4
2021-05-17 18:48:18,2.7,1.0,1.1,10402.6,493.7,13.0,0.8,,
2021-05-17 18:48:19,2.3,0.4,0.0,10402.6,493.7,23.0,0.8,,
2021-05-17 18:48:20,3.9,0.6,2.1,10402.6,493.7,27.0,0.8,,
2021-05-17 18:48:21,2.5,1.2,0.4,10401.8,494.2,18.0,0.8,,
2021-05-17 18:48:22,2.4,0.9,0.4,10401.8,494.2,12.9,0.8,,
2021-05-17 18:48:23,1.8,0.8,0.1,10401.8,494.2,13.0,0.8,,
2021-05-17 18:48:24,1.1,0.9,3.9,10398.9,497.0,8.0,0.8,,
2021-05-17 18:48:25,5.0,1.1,0.0,10398.9,497.0,29.0,0.8,,
2021-05-17 18:48:26,4.6,1.4,4.3,10398.9,497.0,24.0,0.8,,
2021-05-17 18:48:27,2.3,1.1,0.0,10398.1,497.4,13.0,0.8,,
2021-05-17 18:48:28,1.0,0.6,0.1,10398.1,497.4,6.9,0.8,,
2021-05-17 18:48:29,0.9,0.3,0.0,10398.1,497.4,9.0,0.8,,
2021-05-17 18:48:30,1.6,0.4,0.0,10398.9,496.6,14.0,0.8,,
2021-05-17 18:48:31,4.1,1.0,1.6,10398.9,496.6,34.0,0.8,,
2021-05-17 18:48:32,5.9,1.9,1.5,10398.9,496.6,34.0,0.8,,
2021-05-17 18:48:33,1.5,0.6,0.1,10401.2,494.0,12.0,0.8,,
2021-05-17 18:48:34,1.4,0.5,0.9,10401.2,494.0,12.9,0.8,,
2021-05-17 18:48:35,1.1,0.0,0.0,10401.2,494.0,7.0,0.8,,
2021-05-17 18:48:36,2.0,0.3,0.3,10399.4,495.8,20.0,0.8,,
2021-05-17 18:48:37,7.2,1.2,2.6,10399.4,495.8,43.0,0.8,,
2021-05-17 18:48:38,1.6,0.4,0.5,10399.4,495.8,16.0,0.8,,
2021-05-17 18:48:39,1.4,0.8,0.0,10401.7,493.1,13.0,0.8,,
2021-05-17 18:48:40,1.9,1.0,0.1,10401.7,493.1,13.9,0.8,,
2021-05-17 18:48:41,0.9,0.1,0.0,10401.7,493.1,10.0,0.8,,
2021-05-17 18:48:42,5.5,0.8,1.5,10401.0,493.4,34.0,0.8,,
2021-05-17 18:48:43,1.8,0.4,0.4,10401.0,493.4,15.0,0.8,,
2021-05-17 18:48:44,2.9,0.8,0.1,10401.0,493.4,20.0,0.8,,
2021-05-17 19:36:24,0.0,0.0,0.0,10368.4,497.2,0.0,0.8,0.0,0.5
2021-05-17 19:36:25,1.8,0.4,0.0,10368.4,497.2,15.0,0.8,4.0,0.5
2021-05-17 19:36:26,4.2,0.4,0.5,10368.4,497.2,31.0,0.8,8.0,0.5
2021-05-17 19:36:27,5.0,1.1,1.0,10367.1,498.5,30.0,0.8,13.0,0.5
2021-05-17 19:36:28,1.5,0.4,0.1,10367.1,498.5,14.0,0.8,3.0,0.5
2021-05-17 19:36:29,2.1,1.0,0.3,10367.1,498.5,12.9,0.8,4.0,0.5
2021-05-17 19:36:30,1.3,0.5,0.0,10368.7,496.9,7.0,0.8,1.0,0.5
2021-05-17 19:36:31,1.8,0.5,4.9,10368.7,496.9,15.0,0.8,3.0,0.5
2021-05-17 19:36:32,5.0,0.2,1.0,10368.7,496.9,35.0,0.8,11.0,0.5
2021-05-17 19:36:33,1.6,0.3,0.1,10369.0,497.2,17.0,0.8,1.0,0.5
2021-05-17 19:36:34,2.7,0.9,0.2,10369.0,497.2,17.0,0.8,3.0,0.5
2021-05-17 19:36:35,1.4,0.6,0.0,10369.0,497.2,9.9,0.8,2.0,0.5
2021-05-17 19:36:36,2.1,0.1,0.1,10369.0,497.1,16.0,0.8,1.0,0.5
2021-05-17 19:36:37,4.3,0.5,1.0,10369.0,497.1,30.0,0.8,13.0,0.5
2021-05-17 19:36:38,4.5,0.8,6.3,10369.0,497.1,25.0,0.8,20.0,0.5
2021-05-17 19:36:39,2.0,1.0,0.2,10368.5,497.6,16.0,0.8,3.0,0.5
2021-05-17 19:36:40,1.5,0.5,0.1,10368.5,497.6,8.9,0.8,1.0,0.5
2021-05-17 19:36:41,0.9,0.3,0.1,10368.5,497.6,6.0,0.8,1.0,0.5
2021-05-17 19:36:42,3.5,0.5,0.1,10367.4,498.7,26.0,0.8,7.0,0.5
2021-05-17 19:36:43,6.2,0.5,1.8,10367.4,498.7,36.0,0.8,26.0,0.5
2021-05-17 19:36:44,1.6,0.1,0.0,10367.4,498.7,12.0,0.8,2.0,0.5
2021-05-17 19:36:45,2.5,0.7,0.1,10369.0,496.9,16.8,0.8,2.0,0.5
2021-05-17 19:36:46,1.5,1.4,0.0,10369.0,496.9,9.0,0.8,2.0,0.5
2021-05-17 19:36:47,2.9,0.5,2.5,10369.0,496.9,19.0,0.8,3.0,0.5
2021-05-17 19:36:48,5.0,0.7,1.1,10367.9,498.0,34.0,0.8,14.0,0.5
2021-05-17 19:36:49,0.9,0.1,0.1,10367.9,498.0,10.0,0.8,1.0,0.5
2021-05-17 19:36:50,3.2,0.5,0.0,10367.9,498.0,23.0,0.8,4.0,0.5
2021-05-17 19:36:51,0.9,0.8,0.0,10366.7,499.2,6.9,0.8,2.0,0.5
2021-05-17 19:36:52,2.3,1.3,0.0,10366.7,499.2,17.0,0.8,3.0,0.5
2021-05-17 19:36:53,5.2,0.9,2.4,10366.7,499.2,33.0,0.8,10.0,0.5
2021-05-17 20:08:04,1.7,0.8,0.0,10360.6,497.0,6.7,0.8,6.7,0.5
2021-05-17 20:08:05,2.2,0.4,0.2,10360.6,497.0,16.8,0.8,2.0,0.5
2021-05-17 20:08:06,2.1,0.8,0.0,10360.6,497.0,18.0,0.8,3.0,0.5
2021-05-17 20:08:07,1.4,0.9,0.0,10359.6,498.0,14.0,0.8,2.0,0.5
2021-05-17 20:08:08,3.3,0.4,0.6,10359.6,498.0,26.0,0.8,5.0,0.5
2021-05-17 20:08:09,4.5,0.6,2.0,10359.6,498.0,32.0,0.8,15.0,0.5
2021-05-17 20:08:10,1.4,0.4,0.3,10359.1,498.5,11.0,0.8,3.0,0.5
