timestamp,rx,tx
2021-05-27 11:25:00+02:00,207994651,256652823
2021-05-27 11:30:00+02:00,204508664,246045830
2021-05-27 11:35:00+02:00,204862337,248400838
2021-05-27 11:40:00+02:00,206219932,249058037
2021-05-27 11:45:00+02:00,206726671,247746269
2021-05-27 11:50:00+02:00,200055120,245317570
2021-05-27 11:55:00+02:00,201018736,235989244
2021-05-27 12:00:00+02:00,197567464,241392261
2021-05-27 12:05:00+02:00,202567107,246122596
2021-05-27 12:10:00+02:00,205465846,251470703
2021-05-27 12:15:00+02:00,205855384,254069092
2021-05-27 12:20:00+02:00,205784833,243589008
2021-05-27 12:25:00+02:00,210462199,253800759
2021-05-27 12:30:00+02:00,214809030,254022331
2021-05-27 12:35:00+02:00,212254000,261969163
2021-05-27 12:40:00+02:00,218701875,270079869
2021-05-27 12:45:00+02:00,206626912,246064376
2021-05-27 12:50:00+02:00,220967833,278063195
2021-05-27 12:55:00+02:00,244540736,310827024
2021-05-27 13:00:00+02:00,242600256,302467252
2021-05-27 13:05:00+02:00,242003882,299737527
2021-05-27 13:10:00+02:00,239986537,290267803
2021-05-27 13:15:00+02:00,220441707,275198247
2021-05-27 13:20:00+02:00,216955325,248039802
2021-05-27 13:25:00+02:00,255230482,341138157
2021-05-27 13:30:00+02:00,220292776,272620892
2021-05-27 13:35:00+02:00,232601422,283944933
2021-05-27 13:40:00+02:00,217364217,263784299
2021-05-27 13:45:00+02:00,220961481,262379597
2021-05-27 13:50:00+02:00,213536657,259999445
2021-05-27 13:55:00+02:00,233624501,271919620
2021-05-27 14:00:00+02:00,223244446,267736466
2021-05-27 14:05:00+02:00,214218407,255767097
2021-05-27 14:10:00+02:00,211493528,256356261
2021-05-27 14:15:00+02:00,211886138,261135731
2021-05-27 14:20:00+02:00,212392671,247619323
